id,lat,long,x84,y84,z,type
CB-1,-22.80677074,-69.34307184,464791.48,7477829.54,1677.13,monitoring well
CB-2,-22.81738107,-69.2933582,469895.82,7476665.98,1629.06,monitoring well
CB-3,-22.83795671,-69.30907608,468287.62,7474385,1628.08,monitoring well
CB-4,-22.84297676,-69.32401684,466755.85,7473826,1645.23,monitoring well
CB-5,-22.82379913,-69.37337894,461685.88,7475936.98,1656.34,monitoring well
CB-6,-22.84708571,-69.3664828,462399.93,7473360.95,1660.09,monitoring well
CB-7,-22.84493877,-69.41960282,456949.23,7473584.1,1600.8,monitoring well
CB-8,-22.85807471,-69.41786695,457131.45,7472130.46,1607.75,monitoring well
CB-9,-22.88941847,-69.36532939,462529.88,7468675.03,1678.64,monitoring well
CB-10,-22.86118646,-69.32914952,466233.73,7471809.04,1690.06,monitoring well
CB-11,-22.87379686,-69.40882823,458063.56,7470392.62,1631.02,monitoring well
CB-12,-22.90823352,-69.33733118,465406.32,7466599.06,1593.61,monitoring well
CON-10,-22.89236762,-69.43538062,455345.93,7468329.03,1582,monitoring well
CON-15,-22.85734352,-69.42266572,456638.91,7472210,1598.05,monitoring well
CON-16,-22.86725966,-69.42697574,456199.92,7471111.01,1618.59,monitoring well
CON-21,-22.9016135,-69.41673789,457260.91,7467311.04,1604.25,monitoring well
CON-23,-22.87723961,-69.40702192,458249.9,7470012.02,1664,monitoring well
KP-DH10-33,-22.84431723,-69.36804351,462239.04,7473667.02,1653.71,monitoring well
KP-DH10-40,-22.84316512,-69.4204308,456863.72,7473780.2,1596.01,monitoring well
Loreto 3,-22.84038023,-69.32153327,467010.04,7474113.99,1633.4,monitoring well
Loreto 4,-22.82521825,-69.30790215,468405.13,7475795.38,1628,monitoring well
QSCSG6-237,-22.87734882,-69.31764589,467417.71,7470022.47,1623.97,monitoring well
QSG08-402,-22.83237168,-69.33510257,465615.78,7474997.43,1649.06,monitoring well
QSG08-423,-22.85560461,-69.3326933,465868.79,7472426.13,1710.24,monitoring well
QSG08-431,-22.84110349,-69.33889882,465228.47,7474029.94,1670.46,monitoring well
QSG08-493,-22.84477524,-69.32733291,466416.06,7473626.16,1659.16,monitoring well
QSG08-530,-22.82668895,-69.33801236,465315.77,7475625.82,1667.3,monitoring well
QSG09-580,-22.80856873,-69.3623255,462816,7477625.79,1685.57,monitoring well
QSG09-585,-22.81986251,-69.36479577,462565.57,7476374.96,1667.2,monitoring well
QSG09-586,-22.8198104,-69.35502673,463568.04,7476383.17,1700.42,monitoring well
QSG09-587,-22.86061464,-69.3112799,468066.79,7471876.32,1630.14,monitoring well
QSG09-593,-22.84707763,-69.32343473,466816.57,7473372.17,1651.53,monitoring well
QSG09-597,-22.8370951,-69.329266,466215.83,7474475.9,1650.12,monitoring well
QSG09-602,-22.85159727,-69.31124874,468067.88,7472874.54,1629.87,monitoring well
QSG09-605,-22.84528716,-69.31319074,467867.16,7473572.64,1627.79,monitoring well
QSG09-608,-22.8516071,-69.30636574,468568.85,7472874.5,1630.72,monitoring well
QSG10-696,-22.83337844,-69.37457144,461566.2,7474876.25,1640.56,monitoring well
